,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
0,0,0,5,True,56.0,0.0,15.0,0,0
1,1,0,5,True,51.0,0.0,15.0,0,0
2,2,0,5,True,54.0,0.0,15.0,0,0
3,3,0,5,True,56.0,0.0,15.0,0,0
4,4,0,5,True,58.0,0.0,15.0,0,0
5,5,0,5,True,50.0,0.0,15.0,0,0
6,6,0,5,True,55.0,0.0,15.0,0,0
7,7,0,5,True,59.0,0.0,15.0,0,0
8,8,0,5,True,51.0,0.0,15.0,0,0
9,9,0,5,True,54.0,0.0,15.0,0,0
10,0,0,5,False,50.0,0.0,15.0,0,0
11,1,0,5,False,58.0,0.0,15.0,0,0
12,2,0,5,False,57.0,0.0,15.0,0,0
13,3,0,5,False,57.0,0.0,15.0,0,0
14,4,0,5,False,53.0,0.0,15.0,0,0
15,5,0,5,False,50.0,0.0,15.0,0,0
16,6,0,5,False,46.0,0.0,15.0,0,0
17,7,0,5,False,55.0,0.0,15.0,0,0
18,8,0,5,False,53.0,0.0,15.0,0,0
19,9,0,5,False,64.0,0.0,15.0,0,0
20,0,0,10,True,54.0,0.0,15.0,0,0
21,1,0,10,True,54.0,0.0,15.0,0,0
22,2,0,10,True,47.0,0.0,15.0,0,0
23,3,0,10,True,54.0,0.0,15.0,0,0
24,4,0,10,True,49.0,0.0,15.0,0,0
25,5,0,10,True,54.0,0.0,15.0,0,0
26,6,0,10,True,60.0,0.0,15.0,0,0
27,7,0,10,True,56.0,0.0,15.0,0,0
28,8,0,10,True,56.0,0.0,15.0,0,0
29,9,0,10,True,53.0,0.0,15.0,0,0
30,0,0,10,False,54.0,0.0,15.0,0,0
31,1,0,10,False,49.0,0.0,15.0,0,0
32,2,0,10,False,47.0,0.0,15.0,0,0
33,3,0,10,False,56.0,0.0,15.0,0,0
34,4,0,10,False,57.0,0.0,15.0,0,0
35,5,0,10,False,53.0,0.0,15.0,0,0
36,6,0,10,False,49.0,0.0,15.0,0,0
37,7,0,10,False,53.0,0.0,15.0,0,0
38,8,0,10,False,60.0,0.0,15.0,0,0
39,9,0,10,False,56.0,0.0,15.0,0,0
40,0,0,15,True,54.0,0.0,15.0,0,0
41,1,0,15,True,51.0,0.0,15.0,0,0
42,2,0,15,True,49.0,0.0,15.0,0,0
43,3,0,15,True,49.0,0.0,15.0,0,0
44,4,0,15,True,59.0,0.0,15.0,0,0
45,5,0,15,True,56.0,0.0,15.0,0,0
46,6,0,15,True,57.0,0.0,15.0,0,0
47,7,0,15,True,50.0,0.0,15.0,0,0
48,8,0,15,True,57.0,0.0,15.0,0,0
49,9,0,15,True,44.0,0.0,15.0,0,0
50,0,0,15,False,55.0,0.0,15.0,0,0
51,1,0,15,False,56.0,0.0,15.0,0,0
